1;1;../static/data/images/lcarmohn/img_avatar.png;name;Das ist ein Kommmentar indem ich irgendwas tolles über deinen Beitrag schreibe. Eigentlich ist das ein Dummytext um vernünftige CSS Style zu testen. Warum liest du das eigentlich noch? Hast du nichts zu tun?
2;1;../static/data/images/lcarmohn/img_avatar.png;name;Das ist ein Kommmentar indem ich irgendwas tolles über deinen Beitrag schreibe. Eigentlich ist das ein Dummytext um vernünftige CSS Style zu testen. Warum liest du das eigentlich noch? Hast du nichts zu tun?
3;1;../static/data/images/lcarmohn/img_avatar.png;name;Das ist ein Kommmentar indem ich irgendwas tolles über deinen Beitrag schreibe. Eigentlich ist das ein Dummytext um vernünftige CSS Style zu testen. Warum liest du das eigentlich noch? Hast du nichts zu tun?
4;2;../static/data/images/lcarmohn/img_avatar.png;name;Das ist ein Kommmentar indem ich irgendwas tolles über deinen Beitrag schreibe. Eigentlich ist das ein Dummytext um vernünftige CSS Style zu testen. Warum liest du das eigentlich noch? Hast du nichts zu tun?
5;2;../static/data/images/lcarmohn/img_avatar.png;name;Das ist ein Kommmentar indem ich irgendwas tolles über deinen Beitrag schreibe. Eigentlich ist das ein Dummytext um vernünftige CSS Style zu testen. Warum liest du das eigentlich noch? Hast du nichts zu tun?
6;2;../static/data/images/lcarmohn/img_avatar.png;name;Das ist ein Kommmentar indem ich irgendwas tolles über deinen Beitrag schreibe. Eigentlich ist das ein Dummytext um vernünftige CSS Style zu testen. Warum liest du das eigentlich noch? Hast du nichts zu tun?
7;3;../static/data/images/lcarmohn/img_avatar.png;name;Das ist ein Kommmentar indem ich irgendwas tolles über deinen Beitrag schreibe. Eigentlich ist das ein Dummytext um vernünftige CSS Style zu testen. Warum liest du das eigentlich noch? Hast du nichts zu tun?
8;3;../static/data/images/lcarmohn/img_avatar.png;name;Das ist ein Kommmentar indem ich irgendwas tolles über deinen Beitrag schreibe. Eigentlich ist das ein Dummytext um vernünftige CSS Style zu testen. Warum liest du das eigentlich noch? Hast du nichts zu tun?
9;3;../static/data/images/lcarmohn/img_avatar.png;name;Das ist ein Kommmentar indem ich irgendwas tolles über deinen Beitrag schreibe. Eigentlich ist das ein Dummytext um vernünftige CSS Style zu testen. Warum liest du das eigentlich noch? Hast du nichts zu tun?
10;1;../static/data/images/lcarmohn/img_avatar.png;Max Decken;test kommentar
11;2;../static/data/images/lcarmohn/img_avatar.png;Max Decken;zweiter Test ja lol ey
12;3;../static/data/images/lcarmohn/img_avatar.png;Max Decken;video test, ja lol ey die zweite
13;12;../static/data/images/lcarmohn/img_avatar.png;Max Decken;hallo
14;9;../static/data/images/lcarmohn/img_avatar.png;Max Decken;hallo
15;2;../static/data/images/lcarmohn/img_avatar.png;Max Decken;2.test
16;12;../static/data/images/lcarmohn/img_avatar.png;Max Decken;testtetest
